Date;Price;Price_number;Open;High;Low;Vol.;Change %
23/12/2022;8,5;8500;8,525;8,575;8,5;47.39M;-0.87%
26/12/2022;8,575;8575;8,5;8,625;8,5;20.52M;0.88%
27/12/2022;8,6;8600;8,6;8,65;8,575;28.69M;0.29%
28/12/2022;8,65;8650;8,65;8,65;8,55;48.37M;0.58%
29/12/2022;8,575;8575;8,525;8,6;8,5;47.02M;-0.87%
30/12/2022;8,55;8550;8,575;8,65;8,55;44.68M;-0.29%
02/01/2023;8,55;8550;8,575;8,6;8,5;11.41M;0.00%
03/01/2023;8,55;8550;8,55;8,6;8,525;27.43M;0.00%
04/01/2023;8,35;8350;8,525;8,575;8,35;90.99M;-2.34%
05/01/2023;8,25;8250;8,35;8,375;8,15;128.84M;-1.20%
06/01/2023;8,3;8300;8,1;8,325;8,1;69.29M;0.61%
09/01/2023;8,45;8450;8,325;8,45;8,325;86.93M;1.81%
10/01/2023;8,175;8175;8,4;8,425;8,15;89.32M;-3.25%
11/01/2023;8,125;8125;8,05;8,15;8;119.32M;-0.61%
12/01/2023;8,175;8175;8,15;8,275;8,125;91.11M;0.62%
13/01/2023;8,05;8050;8,15;8,175;8,025;119.79M;-1.53%
16/01/2023;8,15;8150;8,05;8,2;8,05;94.59M;1.24%
17/01/2023;8,325;8325;8,175;8,375;8,15;88.70M;2.15%
18/01/2023;8,3;8300;8,2;8,325;8,175;96.87M;-0.30%
19/01/2023;8,325;8325;8,35;8,35;8,25;55.01M;0.30%
20/01/2023;8,3;8300;8,275;8,325;8,25;82.11M;-0.30%
24/01/2023;8,225;8225;8,3;8,35;8,225;38.53M;-0.90%
25/01/2023;8,2;8200;8,3;8,3;8,2;56.21M;-0.30%
26/01/2023;8,475;8475;8,225;8,475;8,225;78.79M;3.35%
27/01/2023;8,7;8700;8,7;8,85;8,55;183.31M;2.65%
30/01/2023;8,7;8700;8,725;8,775;8,575;95.67M;0.00%
31/01/2023;8,475;8475;8,625;8,675;8,475;147.16M;-2.59%
01/02/2023;8,5;8500;8,575;8,575;8,45;77.41M;0.29%
02/02/2023;8,45;8450;8,425;8,525;8,4;81.19M;-0.59%
03/02/2023;8,7;8700;8,55;8,7;8,5;71.72M;2.96%
