"Date","Price","Open","High","Low","Vol.","Change %"
"09/25/2023","11,250","11,425","11,450","11,200","2.73M","-0.88%"
"09/22/2023","11,350","11,200","11,450","11,200","8.58M","1.34%"
"09/21/2023","11,200","10,825","11,200","10,750","5.96M","3.23%"
"09/20/2023","10,850","10,825","11,050","10,800","4.34M","0.23%"
"09/19/2023","10,825","10,700","10,875","10,700","4.12M","-0.23%"
"09/18/2023","10,850","10,850","10,975","10,700","4.75M","-1.14%"
"09/15/2023","10,975","11,000","11,050","10,700","8.27M","-0.23%"
"09/14/2023","11,000","11,200","11,225","11,000","4.75M","-1.79%"
"09/13/2023","11,200","11,200","11,200","11,100","3.17M","0.00%"
"09/12/2023","11,200","11,175","11,200","11,100","3.77M","0.22%"
"09/11/2023","11,175","11,125","11,225","11,050","3.45M","0.45%"
"09/08/2023","11,125","11,200","11,350","11,025","5.51M","-0.67%"
"09/07/2023","11,200","11,075","11,200","11,075","4.89M","1.36%"
"09/06/2023","11,050","11,150","11,250","10,950","4.82M","-1.12%"
"09/05/2023","11,175","11,200","11,275","11,125","2.30M","-0.22%"
"09/04/2023","11,200","11,200","11,400","11,175","4.06M","0.00%"
"09/01/2023","11,200","11,200","11,275","11,050","4.60M","0.00%"
"08/31/2023","11,200","11,225","11,250","11,125","10.23M","-0.44%"
"08/30/2023","11,250","11,375","11,375","11,250","3.64M","-1.10%"
"08/29/2023","11,375","11,325","11,425","11,275","3.08M","0.66%"
"08/28/2023","11,300","11,425","11,425","11,225","2.84M","-1.09%"
"08/25/2023","11,425","11,350","11,425","11,225","2.97M","0.66%"
"08/24/2023","11,350","11,500","11,500","11,350","2.94M","-1.30%"
"08/23/2023","11,500","11,525","11,525","11,400","5.17M","-0.22%"
"08/22/2023","11,525","11,700","11,700","11,475","2.81M","-1.28%"
"08/21/2023","11,675","11,725","11,775","11,600","4.56M","-0.21%"
"08/18/2023","11,700","11,650","11,700","11,500","6.27M","0.21%"
"08/16/2023","11,675","11,550","11,700","11,450","7.34M","1.74%"
"08/15/2023","11,475","11,400","11,500","11,350","4.39M","0.66%"
"08/14/2023","11,400","11,500","11,500","11,300","4.85M","-0.65%"
"08/11/2023","11,475","11,450","11,525","11,300","5.05M","0.22%"
"08/10/2023","11,450","11,200","11,450","11,125","7.47M","3.15%"
"08/09/2023","11,100","11,225","11,225","11,025","2.99M","-0.45%"
"08/08/2023","11,150","11,125","11,250","11,100","4.39M","0.22%"
"08/07/2023","11,125","11,300","11,300","11,050","5.15M","-1.11%"
"08/04/2023","11,250","11,200","11,300","11,125","6.01M","0.45%"
"08/03/2023","11,200","11,100","11,300","11,100","5.68M","0.22%"
"08/02/2023","11,175","11,075","11,225","10,950","6.18M","0.90%"
"08/01/2023","11,075","11,200","11,200","10,850","7.20M","-1.12%"
"07/31/2023","11,200","11,200","11,275","11,100","4.64M","0.00%"
"07/28/2023","11,200","11,175","11,200","10,950","7.48M","0.22%"
"07/27/2023","11,175","11,175","11,300","11,150","4.54M","0.00%"
"07/26/2023","11,175","11,225","11,225","11,075","5.00M","-0.45%"
"07/25/2023","11,225","11,475","11,550","11,200","9.93M","-2.60%"
"07/24/2023","11,525","11,500","11,625","11,475","4.57M","0.22%"
"07/21/2023","11,500","11,500","11,600","11,425","5.10M","0.22%"
"07/20/2023","11,475","11,750","11,750","11,350","17.64M","-2.34%"
"07/18/2023","11,750","11,675","11,800","11,500","9.08M","0.86%"
"07/17/2023","11,650","11,800","11,875","11,650","8.66M","-1.06%"
"07/14/2023","11,775","11,800","11,800","11,650","4.08M","0.64%"
"07/13/2023","11,700","11,650","11,925","11,650","9.47M","0.43%"
"07/12/2023","11,650","11,700","11,875","11,550","11.96M","1.08%"
"07/11/2023","11,525","11,450","11,600","11,375","7.37M","1.77%"
"07/10/2023","11,325","11,325","11,450","11,250","3.37M","0.44%"
"07/07/2023","11,275","11,300","11,400","11,225","3.88M","-1.10%"
"07/06/2023","11,400","11,450","11,450","11,350","3.79M","-0.44%"
"07/05/2023","11,450","11,500","11,550","11,350","8.14M","-0.22%"
"07/04/2023","11,475","11,600","11,600","11,450","3.93M","-0.86%"
"07/03/2023","11,575","11,600","11,600","11,350","7.25M","2.21%"
"06/27/2023","11,325","11,350","11,450","11,250","11.47M","0.00%"
"06/26/2023","11,325","11,275","11,375","11,175","7.50M","1.34%"
"06/23/2023","11,175","11,150","11,250","11,075","5.22M","0.00%"
"06/22/2023","11,175","11,300","11,300","11,125","6.99M","-1.32%"
"06/21/2023","11,325","11,200","11,375","11,175","9.93M","1.12%"
"06/20/2023","11,200","11,250","11,250","10,975","8.29M","-0.44%"
"06/19/2023","11,250","11,200","11,275","11,200","4.30M","0.45%"
"06/16/2023","11,200","11,300","11,400","11,200","14.12M","-1.10%"
"06/15/2023","11,325","11,325","11,350","11,250","8.67M","0.22%"
"06/14/2023","11,300","11,300","11,300","11,225","4.39M","0.44%"
"06/13/2023","11,250","11,300","11,325","11,225","5.17M","-0.44%"
"06/12/2023","11,300","11,350","11,400","11,225","5.43M","-0.66%"
"06/09/2023","11,375","11,300","11,400","11,175","14.14M","0.66%"
"06/08/2023","11,300","11,325","11,525","11,250","10.95M","0.00%"
"06/07/2023","11,300","11,250","11,475","11,250","12.91M","0.00%"
"06/06/2023","11,300","11,400","11,550","11,250","16.69M","-2.16%"
"06/05/2023","11,550","11,575","11,575","11,325","19.61M","-1.28%"
"05/31/2023","11,700","11,300","11,700","11,250","45.06M","4.46%"
"05/30/2023","11,200","11,200","11,325","11,175","12.51M","0.22%"
"05/29/2023","11,175","11,200","11,250","11,150","7.61M","-0.22%"
"05/26/2023","11,200","11,200","11,250","11,175","9.08M","0.00%"
"05/25/2023","11,200","11,200","11,275","11,175","15.72M","0.00%"
"05/24/2023","11,200","11,175","11,250","11,150","9.72M","0.22%"
