"Date","Price","Open","High","Low","Vol.","Change %"
"09/12/2023","2,620","2,560","2,650","2,550","13.71M","2.75%"
"09/11/2023","2,550","2,510","2,560","2,490","8.06M","2.00%"
"09/08/2023","2,500","2,450","2,550","2,450","10.04M","2.88%"
"09/07/2023","2,430","2,460","2,470","2,390","14.78M","-1.22%"
"09/06/2023","2,460","2,500","2,500","2,440","17.25M","-1.60%"
"09/05/2023","2,500","2,540","2,540","2,490","7.03M","-1.96%"
"09/04/2023","2,550","2,590","2,600","2,540","3.78M","-1.54%"
"09/01/2023","2,590","2,630","2,640","2,590","1.37M","-1.15%"
"08/31/2023","2,620","2,640","2,660","2,590","5.72M","-0.76%"
"08/30/2023","2,640","2,610","2,660","2,600","4.52M","1.54%"
"08/29/2023","2,600","2,620","2,640","2,600","2.92M","-0.76%"
"08/28/2023","2,620","2,650","2,690","2,620","5.35M","-1.13%"
"08/25/2023","2,650","2,650","2,650","2,610","1.29M","0.00%"
"08/24/2023","2,650","2,660","2,660","2,620","2.74M","-0.38%"
"08/23/2023","2,660","2,660","2,700","2,600","5.47M","0.38%"
"08/22/2023","2,650","2,640","2,730","2,600","15.87M","0.38%"
"08/21/2023","2,640","2,670","2,690","2,640","6.91M","-1.12%"
"08/18/2023","2,670","2,660","2,700","2,620","8.17M","0.38%"
"08/16/2023","2,660","2,650","2,680","2,620","6.79M","0.38%"
"08/15/2023","2,650","2,620","2,690","2,620","8.22M","1.92%"
"08/14/2023","2,600","2,590","2,640","2,580","9.95M","0.39%"
"08/11/2023","2,590","2,540","2,600","2,540","4.57M","0.00%"
"08/10/2023","2,590","2,590","2,590","2,550","4.82M","0.00%"
"08/09/2023","2,590","2,560","2,600","2,540","11.08M","1.17%"
"08/08/2023","2,560","2,560","2,580","2,540","6.17M","0.00%"
"08/07/2023","2,560","2,520","2,590","2,500","11.76M","1.19%"
"08/04/2023","2,530","2,500","2,560","2,450","17.88M","1.20%"
"08/03/2023","2,500","2,420","2,510","2,400","13.48M","3.73%"
"08/02/2023","2,410","2,440","2,460","2,400","4.32M","-1.23%"
"08/01/2023","2,440","2,420","2,470","2,420","2.98M","0.83%"
"07/31/2023","2,420","2,450","2,490","2,420","10.92M","-0.41%"
"07/28/2023","2,430","2,420","2,450","2,390","4.93M","1.25%"
"07/27/2023","2,400","2,430","2,450","2,370","9.14M","-1.23%"
"07/26/2023","2,430","2,440","2,450","2,400","6.56M","-0.41%"
"07/25/2023","2,440","2,490","2,510","2,430","9.16M","-2.40%"
"07/24/2023","2,500","2,500","2,510","2,460","5.36M","0.00%"
"07/21/2023","2,500","2,390","2,510","2,370","13.93M","5.04%"
"07/20/2023","2,380","2,430","2,430","2,350","19.10M","-2.06%"
"07/18/2023","2,430","2,510","2,520","2,410","15.46M","-2.80%"
"07/17/2023","2,500","2,550","2,560","2,490","11.63M","-1.96%"
"07/14/2023","2,550","2,560","2,570","2,540","4.03M","-0.39%"
"07/13/2023","2,560","2,590","2,610","2,540","9.92M","-1.16%"
"07/12/2023","2,590","2,590","2,650","2,580","6.32M","0.00%"
"07/11/2023","2,590","2,600","2,630","2,540","7.90M","-0.38%"
"07/10/2023","2,600","2,630","2,660","2,590","4.74M","-1.52%"
"07/07/2023","2,640","2,640","2,650","2,600","2.88M","0.00%"
"07/06/2023","2,640","2,700","2,700","2,630","7.63M","-2.22%"
"07/05/2023","2,700","2,630","2,710","2,620","5.04M","3.05%"
"07/04/2023","2,620","2,590","2,640","2,590","2.71M","0.77%"
"07/03/2023","2,600","2,610","2,630","2,590","4.41M","-0.38%"
"06/27/2023","2,610","2,630","2,640","2,580","4.77M","0.00%"
"06/26/2023","2,610","2,610","2,650","2,580","6.11M","0.00%"
"06/23/2023","2,610","2,640","2,650","2,550","8.83M","-1.14%"
"06/22/2023","2,640","2,690","2,690","2,640","3.37M","-1.86%"
"06/21/2023","2,690","2,660","2,710","2,650","4.74M","1.13%"
"06/20/2023","2,660","2,650","2,680","2,630","5.02M","0.38%"
"06/19/2023","2,650","2,720","2,720","2,610","6.24M","-2.57%"
"06/16/2023","2,720","2,690","2,720","2,680","4.34M","0.74%"
"06/15/2023","2,700","2,740","2,740","2,680","4.06M","-1.46%"
"06/14/2023","2,740","2,770","2,780","2,690","6.04M","0.00%"
"06/13/2023","2,740","2,700","2,900","2,690","19.03M","1.48%"
"06/12/2023","2,700","2,730","2,760","2,640","9.28M","-1.10%"
"06/09/2023","2,730","2,710","2,730","2,680","3.77M","1.11%"
"06/08/2023","2,700","2,670","2,730","2,670","5.26M","1.12%"
"06/07/2023","2,670","2,650","2,680","2,640","2.86M","0.75%"
"06/06/2023","2,650","2,660","2,690","2,610","4.77M","-0.38%"
"06/05/2023","2,660","2,640","2,690","2,620","3.85M","1.53%"
"05/31/2023","2,620","2,660","2,700","2,580","9.96M","-1.13%"
"05/30/2023","2,650","2,680","2,710","2,650","4.48M","-1.12%"
"05/29/2023","2,680","2,710","2,730","2,660","3.26M","-1.11%"
"05/26/2023","2,710","2,680","2,730","2,680","3.30M","1.12%"
"05/25/2023","2,680","2,690","2,710","2,660","2.68M","-0.37%"
"05/24/2023","2,690","2,720","2,730","2,670","5.70M","-1.10%"
"05/23/2023","2,720","2,720","2,740","2,690","6.60M","0.00%"
"05/22/2023","2,720","2,710","2,730","2,660","5.58M","0.37%"
"05/19/2023","2,710","2,660","2,740","2,630","4.38M","1.88%"
"05/17/2023","2,660","2,740","2,780","2,620","7.67M","-2.92%"
"05/16/2023","2,740","2,780","2,790","2,720","7.28M","-1.44%"
"05/15/2023","2,780","2,810","2,850","2,760","4.30M","-1.07%"
"05/12/2023","2,810","2,750","2,830","2,730","11.50M","1.81%"
"05/11/2023","2,760","2,680","2,820","2,660","16.37M","2.60%"
"05/10/2023","2,690","2,690","2,720","2,660","6.34M","-0.37%"
"05/09/2023","2,700","2,700","2,730","2,670","8.86M","0.00%"
"05/08/2023","2,700","2,650","2,740","2,630","5.94M","2.27%"
"05/05/2023","2,640","2,660","2,680","2,580","4.64M","-0.38%"
"05/04/2023","2,650","2,610","2,660","2,610","8.29M","1.53%"
"05/03/2023","2,610","2,570","2,690","2,560","5.71M","1.95%"
"05/02/2023","2,560","2,600","2,650","2,530","4.54M","-1.54%"
"04/28/2023","2,600","2,560","2,600","2,520","5.41M","1.56%"
"04/27/2023","2,560","2,550","2,630","2,550","3.61M","0.39%"
"04/26/2023","2,550","2,600","2,600","2,520","8.69M","-1.92%"
"04/18/2023","2,600","2,620","2,620","2,530","7.94M","-0.76%"
"04/17/2023","2,620","2,610","2,630","2,580","3.32M","0.38%"
"04/14/2023","2,610","2,650","2,660","2,590","4.44M","-1.51%"
"04/13/2023","2,650","2,650","2,670","2,600","2.18M","0.00%"
"04/12/2023","2,650","2,670","2,670","2,610","8.33M","-0.38%"
"04/11/2023","2,660","2,620","2,670","2,620","10.36M","1.53%"
"04/10/2023","2,620","2,580","2,650","2,550","7.85M","2.34%"
"04/06/2023","2,560","2,600","2,720","2,560","9.18M","-1.16%"
"04/05/2023","2,590","2,610","2,650","2,520","4.66M","-0.77%"
"04/04/2023","2,610","2,640","2,670","2,580","4.54M","-1.14%"
"04/03/2023","2,640","2,680","2,690","2,630","2.25M","-1.12%"
"03/31/2023","2,670","2,670","2,720","2,570","11.44M","0.00%"
"03/30/2023","2,670","2,740","2,740","2,670","4.67M","-2.55%"
"03/29/2023","2,740","2,670","2,790","2,660","4.97M","2.62%"
"03/28/2023","2,670","2,630","2,670","2,620","1.26M","3.49%"
"03/27/2023","2,580","2,600","2,640","2,580","2.35M","-0.77%"
"03/24/2023","2,600","2,550","2,650","2,550","3.86M","1.96%"
"03/21/2023","2,550","2,590","2,620","2,550","2.30M","-1.54%"
"03/20/2023","2,590","2,650","2,650","2,560","3.08M","-2.26%"
"03/17/2023","2,650","2,670","2,680","2,630","4.05M","-0.75%"
"03/16/2023","2,670","2,650","2,670","2,600","4.47M","0.75%"
"03/15/2023","2,650","2,620","2,690","2,620","1.94M","0.00%"
"03/14/2023","2,650","2,680","2,690","2,500","3.11M","-1.12%"
"03/13/2023","2,680","2,700","2,700","2,610","2.16M","-0.74%"
"03/10/2023","2,700","2,730","2,730","2,680","3.48M","-1.10%"
"03/09/2023","2,730","2,700","2,740","2,690","4.09M","1.11%"
"03/08/2023","2,700","2,700","2,730","2,680","864.60K","0.00%"
"03/07/2023","2,700","2,700","2,740","2,670","1.95M","0.00%"
"03/06/2023","2,700","2,690","2,800","2,660","9.52M","1.12%"
"03/03/2023","2,670","2,740","2,740","2,670","2.00M","-2.55%"
"03/02/2023","2,740","2,620","2,750","2,600","10.60M","4.58%"
"03/01/2023","2,620","2,630","2,680","2,600","2.97M","-1.50%"
"02/28/2023","2,660","2,660","2,740","2,570","3.99M","0.00%"
"02/27/2023","2,660","2,680","2,690","2,640","9.27M","-0.75%"
"02/24/2023","2,680","2,640","2,750","2,640","9.76M","1.90%"
"02/23/2023","2,630","2,630","2,660","2,610","1.84M","0.38%"
"02/22/2023","2,620","2,660","2,710","2,620","6.49M","-1.50%"
"02/21/2023","2,660","2,650","2,700","2,630","4.00M","0.38%"
"02/20/2023","2,650","2,690","2,690","2,630","2.83M","-1.49%"
"02/17/2023","2,690","2,670","2,710","2,620","6.83M","0.75%"
"02/16/2023","2,670","2,640","2,710","2,610","19.88M","1.14%"
"02/15/2023","2,640","2,600","2,640","2,580","8.15M","1.54%"
"02/14/2023","2,600","2,600","2,650","2,520","10.52M","0.39%"
"02/13/2023","2,590","2,440","2,670","2,420","24.83M","6.15%"
"02/10/2023","2,440","2,420","2,480","2,400","3.12M","0.83%"
"02/09/2023","2,420","2,440","2,470","2,410","1.15M","-0.82%"
"02/08/2023","2,440","2,400","2,440","2,400","3.92M","1.24%"
"02/07/2023","2,410","2,390","2,440","2,390","2.47M","1.26%"
"02/06/2023","2,380","2,500","2,510","2,370","9.70M","-4.80%"
"02/03/2023","2,500","2,400","2,500","2,400","4.81M","4.17%"
"02/02/2023","2,400","2,370","2,410","2,370","4.22M","1.27%"
"02/01/2023","2,370","2,380","2,400","2,340","3.85M","0.00%"
"01/31/2023","2,370","2,380","2,400","2,360","1.57M","0.00%"
"01/30/2023","2,370","2,400","2,400","2,330","4.46M","-1.25%"
"01/27/2023","2,400","2,430","2,450","2,390","1.95M","-1.23%"
"01/26/2023","2,430","2,370","2,450","2,370","4.24M","2.53%"
"01/25/2023","2,370","2,350","2,390","2,350","1.74M","0.85%"
"01/24/2023","2,350","2,370","2,370","2,320","3.06M","-0.84%"
"01/20/2023","2,370","2,370","2,390","2,350","1.89M","0.42%"
"01/19/2023","2,360","2,300","2,360","2,300","4.31M","2.16%"
"01/18/2023","2,310","2,310","2,330","2,270","4.26M","0.00%"
"01/17/2023","2,310","2,310","2,370","2,300","5.17M","0.43%"
"01/16/2023","2,300","2,410","2,410","2,280","7.34M","-4.17%"
"01/13/2023","2,400","2,440","2,470","2,400","4.25M","-1.64%"
"01/12/2023","2,440","2,430","2,460","2,400","1.69M","0.41%"
"01/11/2023","2,430","2,480","2,480","2,420","2.69M","-2.02%"
"01/10/2023","2,480","2,530","2,540","2,470","2.07M","-1.98%"
"01/09/2023","2,530","2,460","2,590","2,450","3.38M","2.85%"
"01/06/2023","2,460","2,550","2,550","2,380","4.85M","-3.53%"
"01/05/2023","2,550","2,620","2,650","2,480","5.04M","-2.67%"
"01/04/2023","2,620","2,560","2,630","2,550","8.77M","3.15%"
"01/03/2023","2,540","2,500","2,570","2,480","7.70M","2.01%"
"01/02/2023","2,490","2,490","2,510","2,480","1.53M","-0.40%"
"12/30/2022","2,500","2,450","2,500","2,440","2.29M","2.46%"
"12/29/2022","2,440","2,440","2,450","2,410","317.80K","0.00%"
"12/28/2022","2,440","2,490","2,490","2,400","1.95M","-2.01%"
"12/27/2022","2,490","2,460","2,500","2,330","2.94M","1.63%"
"12/26/2022","2,450","2,450","2,460","2,440","385.30K","-0.41%"
"12/23/2022","2,460","2,500","2,510","2,430","1.06M","-1.60%"
"12/22/2022","2,500","2,490","2,520","2,480","5.55M","0.00%"
"12/21/2022","2,500","2,500","2,520","2,440","6.26M","0.40%"
"12/20/2022","2,490","2,430","2,490","2,420","2.99M","2.89%"
"12/19/2022","2,420","2,390","2,450","2,320","5.15M","1.68%"
"12/16/2022","2,380","2,410","2,430","2,380","2.69M","-2.06%"
"12/15/2022","2,430","2,440","2,450","2,380","2.22M","-0.82%"
"12/14/2022","2,450","2,500","2,500","2,430","3.03M","-2.00%"
"12/13/2022","2,500","2,510","2,530","2,480","1.76M","-0.40%"
"12/12/2022","2,510","2,500","2,550","2,460","2.29M","0.40%"
"12/09/2022","2,500","2,530","2,530","2,480","2.36M","-1.19%"
"12/08/2022","2,530","2,540","2,540","2,460","3.54M","-0.39%"
"12/07/2022","2,540","2,540","2,550","2,460","3.89M","0.00%"
"12/06/2022","2,540","2,540","2,550","2,420","4.28M","0.00%"
"12/05/2022","2,540","2,530","2,560","2,470","5.84M","0.00%"
"12/02/2022","2,540","2,540","2,550","2,510","3.49M","0.00%"
"12/01/2022","2,540","2,540","2,550","2,500","1.94M","0.79%"
"11/30/2022","2,520","2,530","2,550","2,500","2.19M","0.00%"
"11/29/2022","2,520","2,500","2,600","2,500","10.10M","0.80%"
"11/28/2022","2,500","2,420","2,500","2,380","7.86M","4.17%"
"11/25/2022","2,400","2,420","2,420","2,380","955.00K","-0.83%"
"11/24/2022","2,420","2,430","2,450","2,390","4.39M","-0.41%"
"11/23/2022","2,430","2,310","2,430","2,270","8.44M","7.05%"
"11/22/2022","2,270","2,330","2,380","2,230","1.94M","-2.58%"
"11/21/2022","2,330","2,350","2,370","2,310","3.35M","0.00%"
"11/18/2022","2,330","2,240","2,370","2,210","5.79M","2.19%"
"11/17/2022","2,280","2,360","2,380","2,260","7.40M","-3.39%"
"11/16/2022","2,360","2,370","2,390","2,340","1.44M","-0.42%"
"11/15/2022","2,370","2,370","2,410","2,350","4.44M","0.00%"
"11/14/2022","2,370","2,400","2,410","2,330","3.71M","-1.25%"
"11/11/2022","2,400","2,500","2,500","2,330","12.03M","-4.00%"
"11/10/2022","2,500","2,370","2,500","2,340","8.73M","5.49%"
